,base,rotation,translation,base1,rotation1,translation1
0,-0.04292536,0.79631263,-0.02846694,0.0,1.0,0.0
1,0.9297068,0.010083374,-0.024900533,1.0,0.0,0.0
2,0.8385638,-0.20893545,-0.06691799,1.0,0.0,0.0
3,0.94077003,-0.013385583,-0.02005712,1.0,0.0,0.0
4,0.92357504,0.0123755,-0.031917885,1.0,0.0,0.0
5,0.750049,-0.21914785,0.0011758134,1.0,0.0,0.0
6,0.9434234,-0.011503626,-0.02733744,1.0,0.0,0.0
7,0.9103004,0.027105536,-0.032996804,1.0,0.0,0.0
8,0.8683163,-0.21291433,-0.08299636,1.0,0.0,0.0
9,0.8097226,-0.12131666,0.015004419,1.0,0.0,0.0
10,0.9436475,-0.16978312,-0.0033043772,1.0,0.0,0.0
11,0.9179021,0.0130482875,-0.044321656,1.0,0.0,0.0
12,0.8600458,-0.2013587,0.11451861,1.0,0.0,0.0
13,0.83598125,-0.120486066,-0.03717696,1.0,0.0,0.0
14,0.8175396,-0.09835489,0.00046613067,1.0,0.0,0.0
15,0.90235084,-0.08530763,-0.009863578,1.0,0.0,0.0
16,0.83435476,-0.10492149,-0.020369925,1.0,0.0,0.0
17,0.9419514,-0.006435264,-0.027334295,1.0,0.0,0.0
18,0.944726,-0.009601105,-0.024149232,1.0,0.0,0.0
19,0.9245539,-0.010115471,-0.045951806,1.0,0.0,0.0
20,0.81982005,-0.115857124,-0.022283219,1.0,0.0,0.0
21,0.813545,-0.22578906,-0.05538694,1.0,0.0,0.0
22,0.92140543,0.0106272735,-0.03614591,1.0,0.0,0.0
23,0.2055588,-0.14299019,0.52584934,1.0,0.0,0.0
24,0.48638606,-0.1661829,0.29596424,0.0,0.0,1.0
25,0.8300978,-0.18110365,-0.07061059,1.0,0.0,0.0
26,0.8530209,-0.081191614,-0.001693733,1.0,0.0,0.0
27,0.9127557,0.02058443,-0.044754565,1.0,0.0,0.0
28,0.91397643,-0.14858559,-0.0057121553,1.0,0.0,0.0
29,0.56930864,-0.23940258,0.18341531,1.0,0.0,0.0
30,0.82273066,-0.09856048,-0.008037828,1.0,0.0,0.0
31,0.95020336,-0.0178455,-0.015851408,1.0,0.0,0.0
32,0.80815554,-0.18077275,-0.052890018,1.0,0.0,0.0
33,0.8900255,-0.22926025,-0.080161504,1.0,0.0,0.0
34,0.83611715,-0.07809833,-0.0036024079,1.0,0.0,0.0
35,0.95245385,-0.14201358,-0.010929529,1.0,0.0,0.0
36,0.8064327,-0.12450886,0.011806458,1.0,0.0,0.0
37,0.4630794,-0.22633861,0.31647855,1.0,0.0,0.0
38,0.92113453,-0.0066646077,-0.046111584,1.0,0.0,0.0
39,0.8321439,-0.10777034,-0.023534477,1.0,0.0,0.0
40,0.9237494,-0.0073431544,-0.044587217,1.0,0.0,0.0
41,0.8266083,-0.104479,-0.014067903,1.0,0.0,0.0
42,0.8829316,-0.22188203,-0.081149295,1.0,0.0,0.0
43,0.9471682,-0.121393636,-0.014522377,1.0,0.0,0.0
44,0.8044987,-0.22173522,-0.04710602,1.0,0.0,0.0
45,0.809499,-0.20479067,-0.048443347,1.0,0.0,0.0
46,0.9238436,0.008171182,-0.035655074,1.0,0.0,0.0
47,0.898883,0.019940164,-0.038297214,1.0,0.0,0.0
48,0.83837134,-0.08801113,-0.007805608,1.0,0.0,0.0
49,0.8820617,-0.09127244,0.0035305843,1.0,0.0,0.0
50,0.9395854,-0.0075530894,-0.025111116,1.0,0.0,0.0
51,0.84119695,-0.19684003,-0.06943984,1.0,0.0,0.0
52,0.81464106,-0.22322528,-0.052270897,1.0,0.0,0.0
53,0.07292862,-0.22750948,0.83206034,0.0,0.0,1.0
54,0.89427805,-0.07246077,-0.012386784,1.0,0.0,0.0
55,0.8331073,-0.0963891,-0.01798974,1.0,0.0,0.0
56,0.9255135,-0.15829249,-0.014348887,1.0,0.0,0.0
57,0.89551413,-0.13147591,-0.011359066,1.0,0.0,0.0
58,0.9357224,-0.027125422,-0.04230418,1.0,0.0,0.0
59,0.83505386,-0.20856206,-0.06689391,1.0,0.0,0.0
60,0.9368159,-0.005915057,-0.03118775,1.0,0.0,0.0
61,0.9300677,0.0065564923,-0.029645272,1.0,0.0,0.0
62,0.8300779,-0.11355466,-0.026069425,1.0,0.0,0.0
63,0.82135123,-0.11458802,-0.0366278,1.0,0.0,0.0
64,0.9501837,-0.15622161,-0.01331795,1.0,0.0,0.0
65,0.82777727,-0.1296666,-0.046194337,1.0,0.0,0.0
66,0.9416591,-0.006315548,-0.023128748,1.0,0.0,0.0
67,0.82641006,-0.0885175,-0.00162144,1.0,0.0,0.0
68,0.92111015,0.001248505,-0.032029316,1.0,0.0,0.0
69,0.8368585,-0.101555094,-0.013190836,1.0,0.0,0.0
70,0.9301494,0.008841451,-0.034113884,1.0,0.0,0.0
71,0.8259544,-0.110289425,-0.0068616048,1.0,0.0,0.0
72,0.9157456,-0.110853896,-0.01660148,1.0,0.0,0.0
73,0.9259454,-0.1311901,-0.011105426,1.0,0.0,0.0
74,0.9279486,-0.1689082,-0.011845339,1.0,0.0,0.0
75,0.9224384,0.005913805,-0.037702702,1.0,0.0,0.0
