,base,rotation,translation,base1,rotation1,translation1
0,0.59652376,0.06388116,0.030942367,1.0,0.0,0.0
1,0.7617118,-0.06336877,0.04925818,1.0,0.0,0.0
2,0.809831,-0.124095455,0.031653076,1.0,0.0,0.0
3,0.8595523,-0.19947527,0.0691676,1.0,0.0,0.0
4,0.8361377,-0.13751815,0.023271326,1.0,0.0,0.0
5,0.46617794,0.22248627,0.020687178,1.0,0.0,0.0
6,0.83685654,-0.15451811,0.02324508,1.0,0.0,0.0
7,0.56377834,0.102989405,0.04251711,1.0,0.0,0.0
8,0.49877095,0.14878455,0.032546643,1.0,0.0,0.0
9,0.8009599,-0.126867,0.051342346,1.0,0.0,0.0
10,0.8223987,-0.13482623,0.039910324,1.0,0.0,0.0
11,0.7470854,-0.16580194,0.14489403,1.0,0.0,0.0
12,0.70933634,-0.09622909,0.122979835,1.0,0.0,0.0
13,0.53126746,0.09068538,0.12651978,0.0,1.0,0.0
14,0.80776495,-0.18697909,0.11297005,1.0,0.0,0.0
15,0.6911045,-0.05848593,0.1045753,1.0,0.0,0.0
16,0.009929821,-0.098814234,0.7998796,0.0,0.0,1.0
17,0.895883,-0.19550519,0.022081511,1.0,0.0,0.0
18,0.7934527,-0.06579374,0.023259204,1.0,0.0,0.0
19,0.72531426,-0.18308958,0.20087548,1.0,0.0,0.0
20,0.6698069,-0.06373437,0.15021272,1.0,0.0,0.0
21,0.75176054,-0.07419492,0.028882174,1.0,0.0,0.0
22,0.79414093,-0.07063581,0.027936913,1.0,0.0,0.0
23,0.85133535,-0.14889452,0.019760488,1.0,0.0,0.0
24,0.8621951,-0.19061744,0.05891361,1.0,0.0,0.0
25,0.7154753,-0.04953343,0.064373456,0.0,0.0,1.0
26,0.56608284,0.12361489,0.019634359,1.0,0.0,0.0
27,0.7720742,-0.070368215,0.040197335,1.0,0.0,0.0
28,0.56968457,-0.048510764,0.22924785,1.0,0.0,0.0
29,0.8549176,-0.16928336,0.024433704,1.0,0.0,0.0
30,0.76111406,-0.087804064,0.020609418,1.0,0.0,0.0
31,0.7549953,-0.16760422,0.14182363,1.0,0.0,0.0
32,0.6912541,-0.1221146,0.17442742,1.0,0.0,0.0
33,0.5170998,0.1617325,0.029889563,1.0,0.0,0.0
34,0.73934907,-0.1618209,0.15759248,1.0,0.0,0.0
35,0.80098945,-0.11212462,0.033430383,1.0,0.0,0.0
36,-0.13138075,0.8159242,0.010646315,0.0,1.0,0.0
37,0.7758663,-0.086487606,0.037407406,1.0,0.0,0.0
